"10199 BUSTLETON AVE","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=10199 BUSTLETON AVE&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"11099 KNIGHTS ROAD","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=11099 KNIGHTS ROAD&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"1500 WADSWORTH AVE","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=1500 WADSWORTH AVE&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"501 RHAWN ST","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=501 RHAWN ST&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"9233 ROOSEVELT BOULEVARD","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=9233 ROOSEVELT BOULEVARD&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"8711 GERMANTOWN AVE","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=8711 GERMANTOWN AVE&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"2000 WASHINGTON LANE","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=2000 WASHINGTON LANE&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"705 E CATHEDRAL ROAD","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=705 E CATHEDRAL ROAD&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"3079 HOLMES AVE","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=3079 HOLMES AVE&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"6945 GERMANTOWN AVE","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=6945 GERMANTOWN AVE&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"6614 N 12TH ST","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=6614 N 12TH ST&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"2228 COTTMAN AVE","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=2228 COTTMAN AVE&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"6098 RISING SUN AVE","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=6098 RISING SUN AVE&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"6017-35 OGONTZ AVE","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=6017-35 OGONTZ AVE&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"7810 FRANKFORD AVE","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=7810 FRANKFORD AVE&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"6304 CASTOR AVE","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=6304 CASTOR AVE&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"5501 N 05TH ST","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=5501 N 05TH ST&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"6245 RIDGE AVE","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=6245 RIDGE AVE&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"68 W CHELTEN AVE","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=68 W CHELTEN AVE&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"1333 WAGNER AVE","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=1333 WAGNER AVE&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"6742 TORRESDALE AVE","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=6742 TORRESDALE AVE&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"231 E WYOMING AVE","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=231 E WYOMING AVE&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"4634 FRANKFORD AVE","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=4634 FRANKFORD AVE&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"3501 MIDVALE AVE","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=3501 MIDVALE AVE&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"3720 N BROAD ST","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=3720 N BROAD ST&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"104 W DAUPHIN ST","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=104 W DAUPHIN ST&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"2808 W  LEHIGH AVE","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=2808 W  LEHIGH AVE&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"601 E INDIANA AVE","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=601 E INDIANA AVE&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"5325 OVERBROOK AVE","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=5325 OVERBROOK AVE&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"601 W LEHIGH AVE","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=601 W LEHIGH AVE&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"2987 ALMOND ST","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=2987 ALMOND ST&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"2320 W CECIL B. MOORE AVE","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=2320 W CECIL B. MOORE AVE&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"1461 N 52ND ST","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=1461 N 52ND ST&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"7422 HAVERFORD AVE","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=7422 HAVERFORD AVE&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"1217 E MONTGOMERY AVE","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=1217 E MONTGOMERY AVE&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"600 W GIRARD AVE","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=600 W GIRARD AVE&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"446 N 65TH ST","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=446 N 65TH ST&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"5543 HAVERFORD AVE","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=5543 HAVERFORD AVE&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"3320 HAVERFORD AVE","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=3320 HAVERFORD AVE&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"1901 VINE ST","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=1901 VINE ST&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"125 S 52ND ST","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=125 S 52ND ST&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"3948 WALNUT ST","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=3948 WALNUT ST&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"5800 COBBS CREEK PARKWAY","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=5800 COBBS CREEK PARKWAY&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"1201 S 51ST ST","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=1201 S 51ST ST&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"23RD & FEDERAL STS","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=23RD & FEDERAL STS&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"932 S 07TH ST","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=932 S 07TH ST&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"1700 S BROAD ST","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=1700 S BROAD ST&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"200 SNYDER AVE","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=200 SNYDER AVE&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"2437 S  BROAD ST","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=2437 S  BROAD ST&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"1935 SHUNK ST","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=1935 SHUNK ST&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"6942 WOODLAND AVE","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=6942 WOODLAND AVE&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"2851 ISLAND AVE","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=2851 ISLAND AVE&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"1905 LOCUST ST","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=1905 LOCUST ST&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"18 S 07TH ST","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=18 S 07TH ST&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
"919 WALNUT ST","http://tasks.arcgisonline.com/ArcGIS/rest/services/Locators/TA_Address_NA/GeocodeServer/findAddressCandidates?Address=919 WALNUT ST&City=PHILADELPHIA&State=PA&Zip=&Zip4=&Country=&outFields=&outSR=&f=pjson"
